RA,Dec
191.3049665,3.0795984
191.2849958,3.0905954
191.2608953,3.0935696
191.2462065,3.0912744
191.2402423,3.0793554
191.2381814,3.0621663
191.2361208,3.0445189
191.2381906,3.0291643
191.248521,3.0193121
191.2629798,3.0190861
191.276061,3.0213807
191.2953401,3.0184051
191.3100262,3.0289501
191.3162196,3.0461397
191.3120862,3.0566814
