RA,Dec
188.1010135135135,0.093564935064935
188.14898648648648,0.0959275184275184
188.19256756756755,0.1004696384696384
188.23648648648648,0.1067262197262197
188.26114864864863,0.1131286416286416
188.27702702702703,0.1246693576693576
188.27195945945945,0.1351082836082835
188.26351351351352,0.141025974025974
188.22263513513516,0.1388229203229203
188.17736486486487,0.1320981045981046
188.1405405405405,0.1258452088452088
188.11013513513512,0.1169462969462969
188.0966216216216,0.1114847314847314
188.09222972972967,0.1032227097227097
188.0949324324324,0.0974578799578799
