Mask Type,WAVESwide N (sq deg),WAVESwide S (sq deg),WAVESwide N+S (sq deg)
full_mask,499.5717078423942,558.7279043331473,1058.2996121755414
star_mask,512.0559752898355,574.5118396590333,1086.5678149488688
star_ghost_mask,499.675549119447,560.6884207234311,1060.363969842878
star_ngc+_mask,511.9509423705471,572.4955784264741,1084.4465207970213
