tile,ra,dec,star_ra,star_dec,mag,radius,class,tileRA,tileDec,ra_transform,radist,decdist
0.0_-29.2,359.96593914498,-29.3395591205472,359.968818408661,-29.3277617799668,9.27103615,3.05492111321551,2,0,-29.2,-0.0340608550200159,0.0390193533958336,0.139559120547201
0.0_-29.2,359.608592155665,-29.211212943929,359.640513246853,-29.2102984773162,8.09731102,3.05492111321551,2,0,-29.2,-0.391407844334992,0.448388068679826,0.0112129439289994
0.0_-30.2,0.560067952201001,-30.7253531116773,0.517283379839624,-30.6852204668197,8.96579552,3.05492111321551,2,0,-30.2,0.560067952201001,0.648020688483524,0.525353111677301
0.0_-30.2,0.453048374902759,-30.7334197847995,0.418368727751829,-30.6925879201578,8.82852077,3.05492111321551,2,0,-30.2,0.453048374902759,0.524194820766077,0.533419784799502
0.0_-30.2,0.251775045900801,-30.0517271874933,0.230668300279554,-30.0641571585611,8.40392208,3.05492111321551,2,0,-30.2,0.251775045900801,0.291313648542871,0.148272812506701
0.0_-30.2,0.241685298962274,-29.8112577153033,0.222688609480635,-29.841813220758,9.32734203,3.05492111321551,2,0,-30.2,0.241685298962274,0.279639413778975,0.388742284696701
0.0_-30.2,359.41217225553,-30.470062612732,359.458472382061,-30.4487911888182,8.66374683,3.05492111321551,2,0,-30.2,-0.587827744470019,0.680139861929593,0.270062612732001
0.0_-30.2,359.726129976156,-29.8921860292698,359.747973382015,-29.916736746422,9.301404,3.05492111321551,2,0,-30.2,-0.273870023843983,0.31687840860904,0.307813970730198
0.0_-31.2,0.452714984887978,-30.6509315901976,0.418368727751829,-30.6925879201578,8.82852077,3.05492111321551,2,0,-31.2,0.452714984887978,0.529265724526563,0.549068409802398
0.0_-31.2,359.885537537281,-31.7288162654173,359.894347070208,-31.6881162473343,7.43554211,3.05492111321551,2,0,-31.2,-0.114462462719018,0.133817214548501,0.528816265417301
0.0_-31.2,359.677787676852,-31.5035714541723,359.702926789314,-31.4798867084985,8.19833755,3.05492111321551,2,0,-31.2,-0.322212323147994,0.37669603250378,0.3035714541723
0.0_-32.1,0.354440477571206,-31.8824652472075,0.326475166831117,-31.8996287128486,9.18645859,3.05492111321551,2,0,-32.1,0.354440477571206,0.418405507666373,0.217534752792503
0.0_-32.1,359.93020480791,-32.2211270144401,359.936120781474,-32.2108600577366,8.03977585,3.05492111321551,2,0,-32.1,-0.0697951920899982,0.0823909644270834,0.121127014440098
0.0_-32.1,359.885429947107,-31.6533531969099,359.894347070208,-31.6881162473343,7.43554211,3.05492111321551,2,0,-32.1,-0.114570052892987,0.135246237880443,0.446646803090101
0.0_-33.1,359.49362450869,-33.1349636987491,359.535853553363,-33.1320479107188,9.03157139,3.05492111321551,2,0,-33.1,-0.506375491309996,0.604469592553498,0.0349636987490953
0.0_-34.1,0.406818182287481,-33.7669881046187,0.375195609203867,-33.7928736069337,8.49472809,3.05492111321551,2,0,-34.1,0.406818182287481,0.491290507802123,0.333011895381304
0.0_-34.1,359.622601140452,-34.3149204807158,359.652161557088,-34.2980864633551,9.27562046,3.05492111321551,2,0,-34.1,-0.377398859548009,0.455762513633819,0.214920480715797
0.0_-34.1,359.589705041905,-34.3019165468544,359.621752511805,-34.286145174748,8.08004475,3.05492111321551,2,0,-34.1,-0.410294958094994,0.495489206450209,0.201916546854399
0.0_-35.1,0.357870647735648,-35.0975858587778,0.329300046468601,-35.0977785917295,9.40403748,3.05492111321551,2,0,-35.1,0.357870647735648,0.437414619981756,0.00241414122220363
0.0_-35.1,359.962158661554,-35.0729395442865,359.96495897016,-35.0749420534504,9.32862282,3.05492111321551,2,0,-35.1,-0.0378413384460146,0.0462523394435841,0.027060455713503
0.0_-35.1,359.91893133322,-34.9888061133771,359.925801908155,-34.9982298027108,8.81975842,3.05492111321551,2,0,-35.1,-0.0810686667800269,0.0990878137013549,0.1111938866229
10.1_-27.2,9.81419266454803,-27.572634991835,9.83658642903634,-27.543438049657,9.47099876,3.05492111321551,2,10.1,-27.2,9.81419266454803,0.321342561295939,0.372634991835
10.1_-27.2,10.2091431768077,-27.3913028491191,10.2001281146641,-27.3755015216931,8.23740959,3.05492111321551,2,10.1,-27.2,10.2091431768077,0.122713253415624,0.191302849119101
10.1_-27.2,10.3019515049481,-27.3595400948264,10.2852188820544,-27.3463214548176,9.08609104,3.05492111321551,2,10.1,-27.2,10.3019515049481,0.227060700716332,0.159540094826401
10.1_-27.2,10.1293798883198,-27.2843212483604,10.1268991456199,-27.2772014350024,8.61003971,3.05492111321551,2,10.1,-27.2,10.1293798883198,0.0330327720537455,0.0843212483603999
10.1_-27.2,10.1158044821429,-27.0858254615254,10.1144607144799,-27.095533090751,9.56136322,3.05492111321551,2,10.1,-27.2,10.1158044821429,0.0177694976363165,0.1141745384746
10.1_-27.2,9.65218839676286,-27.1692598894384,9.68903796711064,-27.1717894350296,9.11277962,3.05492111321551,2,10.1,-27.2,9.65218839676286,0.503489273061173,0.0307401105615988
10.1_-27.2,9.78040199792999,-27.195126975276,9.80731696121224,-27.1955373573206,9.37775993,3.05492111321551,2,10.1,-27.2,9.78040199792999,0.359334516057235,0.00487302472399875
10.2_-28.2,10.0568228743205,-28.5415064792065,10.068111780475,-28.5145801487845,9.5036211,3.05492111321551,2,10.2,-28.2,10.0568228743205,0.162460643202995,0.341506479206501
10.2_-28.2,10.6737745013083,-27.8777528520726,10.6374015178928,-27.9024926600084,9.2293005,3.05492111321551,2,10.2,-28.2,10.6737745013083,0.537583848330781,0.322247147927399
10.2_-28.2,9.78909471818025,-28.1445848901394,9.8212771520495,-28.1489250463441,8.34606934,3.05492111321551,2,10.2,-28.2,9.78909471818025,0.46624721695683,0.0554151098606006
